shot_id,action_type,combined_shot_type,loc_x,loc_y,period,playoffs,season,shot_made_flag,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,opponent,time_remaining,true_distance,3pt_goal,game_year,game_month,game_day,game_dayofweek,game_at_home
28,Jump Shot,Jump Shot,-183,186,3,0,2000,0.0,Left Side Center(LC),Above the Break 3,24+ ft.,2000-11-01,UTA,30,26.0931025369,1,2000,11,1,2,1
29,Jump Shot,Jump Shot,85,173,4,0,2000,0.0,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-01,UTA,499,19.2753728887,0,2000,11,1,2,1
30,Jump Shot,Jump Shot,3,87,4,0,2000,0.0,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-01,UTA,382,8.70517087713,0,2000,11,1,2,1
31,Running Jump Shot,Jump Shot,121,4,4,0,2000,1.0,Right Side(R),Mid-Range,8-16 ft.,2000-11-01,UTA,80,12.1066097649,0,2000,11,1,2,1
32,Jump Shot,Jump Shot,127,34,4,0,2000,0.0,Right Side(R),Mid-Range,8-16 ft.,2000-11-01,UTA,30,13.147243057,0,2000,11,1,2,1
33,Jump Shot,Jump Shot,163,76,1,0,2000,,Right Side(R),Mid-Range,16-24 ft.,2000-11-04,VAN,686,17.9847157331,0,2000,11,4,5,0
34,Jump Shot,Jump Shot,70,194,1,0,2000,,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-04,VAN,658,20.6242575624,0,2000,11,4,5,0
35,Layup Shot,Layup,1,19,1,0,2000,,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,VAN,453,1.90262975904,0,2000,11,4,5,0
36,Layup Shot,Layup,-12,15,1,0,2000,,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,VAN,358,1.92093727123,0,2000,11,4,5,0
37,Reverse Layup Shot,Layup,1,4,1,0,2000,,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,VAN,249,0.412310562562,0,2000,11,4,5,0
38,Jump Shot,Jump Shot,-117,116,2,0,2000,,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-04,VAN,333,16.4757397406,0,2000,11,4,5,0
39,Jump Shot,Jump Shot,91,184,2,0,2000,1.0,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-04,VAN,210,20.5272988968,0,2000,11,4,5,0
40,Jump Shot,Jump Shot,-27,272,2,0,2000,1.0,Center(C),Above the Break 3,24+ ft.,2000-11-04,VAN,4,27.3336788596,1,2000,11,4,5,0
41,Jump Shot,Jump Shot,-176,66,3,0,2000,0.0,Left Side(L),Mid-Range,16-24 ft.,2000-11-04,VAN,672,18.7968082397,0,2000,11,4,5,0
42,Layup Shot,Layup,7,4,3,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,VAN,613,0.80622577483,0,2000,11,4,5,0
43,Jump Shot,Jump Shot,150,133,3,0,2000,1.0,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-04,VAN,539,20.0471943174,0,2000,11,4,5,0
44,Jump Shot,Jump Shot,49,15,3,0,2000,0.0,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-04,VAN,509,5.12445119013,0,2000,11,4,5,0
45,Layup Shot,Layup,-12,19,3,0,2000,,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,VAN,269,2.24722050542,0,2000,11,4,5,0
46,Layup Shot,Layup,-4,4,3,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,VAN,201,0.565685424949,0,2000,11,4,5,0
47,Reverse Dunk Shot,Dunk,-4,4,3,0,2000,0.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,VAN,175,0.565685424949,0,2000,11,4,5,0
48,Slam Dunk Shot,Dunk,1,9,3,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,VAN,158,0.905538513814,0,2000,11,4,5,0
49,Jump Shot,Jump Shot,121,120,4,0,2000,1.0,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-04,VAN,295,17.0414201286,0,2000,11,4,5,0
50,Jump Shot,Jump Shot,-176,30,4,0,2000,,Left Side(L),Mid-Range,16-24 ft.,2000-11-04,VAN,199,17.8538511252,0,2000,11,4,5,0
51,Layup Shot,Layup,1,9,4,0,2000,0.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,VAN,68,0.905538513814,0,2000,11,4,5,0
52,Layup Shot,Layup,-12,9,4,0,2000,0.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-04,VAN,66,1.5,0,2000,11,4,5,0
53,Jump Shot,Jump Shot,24,70,1,0,2000,0.0,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-05,LAC,633,7.4,0,2000,11,5,6,1
54,Jump Shot,Jump Shot,-189,-4,1,0,2000,0.0,Left Side(L),Mid-Range,16-24 ft.,2000-11-05,LAC,604,18.9042323304,0,2000,11,5,6,1
55,Jump Shot,Jump Shot,-141,247,1,0,2000,,Left Side Center(LC),Above the Break 3,24+ ft.,2000-11-05,LAC,298,28.4411673459,1,2000,11,5,6,1
56,Jump Shot,Jump Shot,-155,194,1,0,2000,0.0,Left Side Center(LC),Above the Break 3,24+ ft.,2000-11-05,LAC,153,24.8316330514,1,2000,11,5,6,1
57,Jump Shot,Jump Shot,1,228,2,0,2000,1.0,Center(C),Mid-Range,16-24 ft.,2000-11-05,LAC,686,22.8002192972,1,2000,11,5,6,1
58,Driving Layup Shot,Layup,0,0,2,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-05,LAC,520,0.0,0,2000,11,5,6,1
59,Slam Dunk Shot,Dunk,0,0,2,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-05,LAC,245,0.0,0,2000,11,5,6,1
60,Jump Shot,Jump Shot,146,241,2,0,2000,,Right Side Center(RC),Above the Break 3,24+ ft.,2000-11-05,LAC,190,28.1774732721,1,2000,11,5,6,1
61,Jump Shot,Jump Shot,-33,108,2,0,2000,0.0,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-05,LAC,122,11.2929181348,0,2000,11,5,6,1
62,Layup Shot,Layup,22,49,2,0,2000,1.0,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-05,LAC,47,5.3712196008,0,2000,11,5,6,1
63,Driving Layup Shot,Layup,0,0,3,0,2000,0.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-05,LAC,572,0.0,0,2000,11,5,6,1
64,Driving Layup Shot,Layup,56,21,3,0,2000,0.0,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-05,LAC,37,5.98080262172,0,2000,11,5,6,1
65,Running Jump Shot,Jump Shot,121,26,3,0,2000,1.0,Right Side(R),Mid-Range,8-16 ft.,2000-11-05,LAC,1,12.3761868118,0,2000,11,5,6,1
66,Jump Shot,Jump Shot,-10,91,4,0,2000,,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-05,LAC,613,9.15478017213,0,2000,11,5,6,1
67,Jump Shot,Jump Shot,-119,36,1,0,2000,,Left Side(L),Mid-Range,8-16 ft.,2000-11-07,HOU,546,12.4326183887,0,2000,11,7,1,0
68,Jump Shot,Jump Shot,231,57,1,0,2000,0.0,Right Side(R),Right Corner 3,24+ ft.,2000-11-07,HOU,497,23.7928560707,1,2000,11,7,1,0
69,Driving Layup Shot,Layup,0,0,1,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-07,HOU,473,0.0,0,2000,11,7,1,0
70,Driving Dunk Shot,Dunk,0,0,1,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-07,HOU,421,0.0,0,2000,11,7,1,0
71,Jump Shot,Jump Shot,159,110,1,0,2000,,Right Side(R),Mid-Range,16-24 ft.,2000-11-07,HOU,315,19.3341666487,0,2000,11,7,1,0
72,Jump Shot,Jump Shot,7,257,1,0,2000,1.0,Center(C),Above the Break 3,24+ ft.,2000-11-07,HOU,191,25.7095313065,1,2000,11,7,1,0
73,Driving Layup Shot,Layup,0,0,2,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-07,HOU,476,0.0,0,2000,11,7,1,0
74,Jump Shot,Jump Shot,51,57,2,0,2000,0.0,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-07,HOU,160,7.64852927039,0,2000,11,7,1,0
75,Jump Shot,Jump Shot,167,190,2,0,2000,0.0,Right Side Center(RC),Above the Break 3,24+ ft.,2000-11-07,HOU,10,25.296047122,1,2000,11,7,1,0
76,Jump Shot,Jump Shot,-119,190,3,0,2000,1.0,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-07,HOU,662,22.4189651858,0,2000,11,7,1,0
77,Jump Shot,Jump Shot,16,57,3,0,2000,0.0,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-07,HOU,550,5.92030404625,0,2000,11,7,1,0
78,Jump Shot,Jump Shot,-84,110,3,0,2000,0.0,Left Side(L),Mid-Range,8-16 ft.,2000-11-07,HOU,444,13.8405202214,0,2000,11,7,1,0
79,Jump Shot,Jump Shot,-71,42,3,0,2000,0.0,Left Side(L),In The Paint (Non-RA),8-16 ft.,2000-11-07,HOU,1,8.24924238946,0,2000,11,7,1,0
80,Jump Shot,Jump Shot,58,47,4,0,2000,,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-07,HOU,709,7.46525284234,0,2000,11,7,1,0
81,Jump Shot,Jump Shot,30,133,4,0,2000,1.0,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-07,HOU,301,13.6341483049,0,2000,11,7,1,0
82,Jump Shot,Jump Shot,1,156,4,0,2000,0.0,Center(C),Mid-Range,8-16 ft.,2000-11-07,HOU,46,15.6003205095,0,2000,11,7,1,0
83,Jump Shot,Jump Shot,132,211,1,0,2000,0.0,Right Side Center(RC),Above the Break 3,24+ ft.,2000-11-08,SAS,701,24.8887524798,1,2000,11,8,2,0
84,Slam Dunk Shot,Dunk,-8,4,1,0,2000,0.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-08,SAS,659,0.894427191,0,2000,11,8,2,0
85,Jump Shot,Jump Shot,-29,70,1,0,2000,,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-08,SAS,588,7.57693869581,0,2000,11,8,2,0
86,Turnaround Jump Shot,Jump Shot,-124,49,1,0,2000,,Left Side(L),Mid-Range,8-16 ft.,2000-11-08,SAS,446,13.3330416635,0,2000,11,8,2,0
87,Jump Shot,Jump Shot,132,127,1,0,2000,1.0,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-08,SAS,396,18.3174779923,0,2000,11,8,2,0
88,Jump Shot,Jump Shot,-29,188,1,0,2000,1.0,Center(C),Mid-Range,16-24 ft.,2000-11-08,SAS,354,19.0223552695,0,2000,11,8,2,0
89,Jump Shot,Jump Shot,140,76,1,0,2000,1.0,Right Side(R),Mid-Range,8-16 ft.,2000-11-08,SAS,144,15.9298462014,0,2000,11,8,2,0
90,Turnaround Jump Shot,Jump Shot,140,0,1,0,2000,1.0,Right Side(R),Mid-Range,8-16 ft.,2000-11-08,SAS,108,14.0,0,2000,11,8,2,0
91,Jump Shot,Jump Shot,-1,156,1,0,2000,1.0,Center(C),Mid-Range,8-16 ft.,2000-11-08,SAS,85,15.6003205095,0,2000,11,8,2,0
92,Jump Shot,Jump Shot,-151,4,1,0,2000,1.0,Left Side(L),Mid-Range,8-16 ft.,2000-11-08,SAS,47,15.1052970841,0,2000,11,8,2,0
93,Jump Shot,Jump Shot,110,76,2,0,2000,0.0,Right Side(R),Mid-Range,8-16 ft.,2000-11-08,SAS,657,13.3701159307,0,2000,11,8,2,0
94,Jump Shot,Jump Shot,132,87,2,0,2000,0.0,Right Side(R),Mid-Range,8-16 ft.,2000-11-08,SAS,577,15.8091745515,0,2000,11,8,2,0
95,Turnaround Jump Shot,Jump Shot,132,4,2,0,2000,,Right Side(R),Mid-Range,8-16 ft.,2000-11-08,SAS,265,13.2060592154,0,2000,11,8,2,0
96,Jump Shot,Jump Shot,-58,251,2,0,2000,1.0,Center(C),Above the Break 3,24+ ft.,2000-11-08,SAS,230,25.7614052412,1,2000,11,8,2,0
97,Jump Shot,Jump Shot,-94,160,2,0,2000,1.0,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-08,SAS,195,18.5569394028,0,2000,11,8,2,0
98,Jump Shot,Jump Shot,-193,150,2,0,2000,0.0,Left Side Center(LC),Above the Break 3,24+ ft.,2000-11-08,SAS,53,24.4436085716,1,2000,11,8,2,0
99,Jump Shot,Jump Shot,140,0,2,0,2000,1.0,Right Side(R),Mid-Range,8-16 ft.,2000-11-08,SAS,48,14.0,0,2000,11,8,2,0
100,Jump Shot,Jump Shot,39,9,3,0,2000,0.0,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-08,SAS,686,4.00249921924,0,2000,11,8,2,0
101,Jump Shot,Jump Shot,24,150,3,0,2000,0.0,Center(C),Mid-Range,8-16 ft.,2000-11-08,SAS,560,15.1907866814,0,2000,11,8,2,0
102,Slam Dunk Shot,Dunk,-1,0,3,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-08,SAS,473,0.1,0,2000,11,8,2,0
103,Jump Shot,Jump Shot,119,133,3,0,2000,1.0,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-08,SAS,400,17.8465682976,0,2000,11,8,2,0
104,Jump Shot,Jump Shot,-101,137,3,0,2000,,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-08,SAS,256,17.0205757834,0,2000,11,8,2,0
105,Jump Shot,Jump Shot,119,19,3,0,2000,0.0,Right Side(R),Mid-Range,8-16 ft.,2000-11-08,SAS,180,12.0507261192,0,2000,11,8,2,0
106,Jump Shot,Jump Shot,-193,42,3,0,2000,0.0,Left Side(L),Mid-Range,16-24 ft.,2000-11-08,SAS,48,19.7517087868,0,2000,11,8,2,0
107,Jump Shot,Jump Shot,-166,55,3,0,2000,0.0,Left Side(L),Mid-Range,16-24 ft.,2000-11-08,SAS,21,17.4874240527,0,2000,11,8,2,0
108,Jump Shot,Jump Shot,24,116,4,0,2000,0.0,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-08,SAS,639,11.845674316,0,2000,11,8,2,0
109,Jump Shot,Jump Shot,-65,156,4,0,2000,0.0,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-08,SAS,428,16.9,0,2000,11,8,2,0
110,Turnaround Jump Shot,Jump Shot,-166,26,4,0,2000,1.0,Left Side(L),Mid-Range,16-24 ft.,2000-11-08,SAS,385,16.8023807837,0,2000,11,8,2,0
111,Jump Shot,Jump Shot,-58,76,4,0,2000,0.0,Left Side(L),In The Paint (Non-RA),8-16 ft.,2000-11-08,SAS,314,9.56033472217,0,2000,11,8,2,0
112,Jump Shot,Jump Shot,-37,70,4,0,2000,0.0,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-08,SAS,218,7.91770168673,0,2000,11,8,2,0
113,Jump Shot,Jump Shot,-151,150,4,0,2000,,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-08,SAS,43,21.284031573,0,2000,11,8,2,0
114,Jump Shot,Jump Shot,-94,188,1,0,2000,0.0,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-12,HOU,669,21.0190389885,0,2000,11,12,6,1
115,Driving Layup Shot,Layup,0,0,1,0,2000,0.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,HOU,617,0.0,0,2000,11,12,6,1
116,Reverse Layup Shot,Layup,0,0,1,0,2000,0.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,HOU,563,0.0,0,2000,11,12,6,1
117,Tip Shot,Tip Shot,0,0,1,0,2000,0.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,HOU,561,0.0,0,2000,11,12,6,1
118,Slam Dunk Shot,Dunk,0,0,1,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,HOU,182,0.0,0,2000,11,12,6,1
119,Driving Layup Shot,Layup,0,0,1,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,HOU,44,0.0,0,2000,11,12,6,1
120,Jump Shot,Jump Shot,85,141,1,0,2000,0.0,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-12,HOU,21,16.4638999025,0,2000,11,12,6,1
121,Jump Shot,Jump Shot,-88,158,2,0,2000,1.0,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-12,HOU,530,18.0853531898,0,2000,11,12,6,1
122,Driving Dunk Shot,Dunk,0,0,2,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,HOU,498,0.0,0,2000,11,12,6,1
123,Jump Shot,Jump Shot,-155,53,2,0,2000,,Left Side(L),Mid-Range,16-24 ft.,2000-11-12,HOU,160,16.381086655,0,2000,11,12,6,1
124,Running Hook Shot,Hook Shot,0,0,2,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,HOU,30,0.0,0,2000,11,12,6,1
125,Jump Shot,Jump Shot,1,276,2,0,2000,1.0,Center(C),Above the Break 3,24+ ft.,2000-11-12,HOU,4,27.6001811588,1,2000,11,12,6,1
126,Running Jump Shot,Jump Shot,-96,133,3,0,2000,,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-12,HOU,599,16.4027436729,0,2000,11,12,6,1
127,Jump Shot,Jump Shot,155,-8,3,0,2000,1.0,Right Side(R),Mid-Range,8-16 ft.,2000-11-12,HOU,518,15.5206314305,0,2000,11,12,6,1
128,Jump Shot,Jump Shot,-155,13,3,0,2000,1.0,Left Side(L),Mid-Range,8-16 ft.,2000-11-12,HOU,318,15.5544205935,0,2000,11,12,6,1
129,Jump Shot,Jump Shot,-84,133,3,0,2000,0.0,Left Side(L),Mid-Range,8-16 ft.,2000-11-12,HOU,274,15.730543538,0,2000,11,12,6,1
130,Jump Shot,Jump Shot,-178,-8,3,0,2000,0.0,Left Side(L),Mid-Range,16-24 ft.,2000-11-12,HOU,231,17.8179684588,0,2000,11,12,6,1
131,Jump Shot,Jump Shot,16,89,3,0,2000,0.0,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-12,HOU,220,9.0426765949,0,2000,11,12,6,1
132,Jump Shot,Jump Shot,-48,106,3,0,2000,1.0,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-12,HOU,213,11.6361505662,0,2000,11,12,6,1
133,Reverse Layup Shot,Layup,0,0,3,0,2000,,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,HOU,176,0.0,0,2000,11,12,6,1
134,Jump Shot,Jump Shot,-170,13,3,0,2000,0.0,Left Side(L),Mid-Range,16-24 ft.,2000-11-12,HOU,125,17.0496334271,0,2000,11,12,6,1
135,Jump Shot,Jump Shot,-119,133,3,0,2000,0.0,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-12,HOU,14,17.8465682976,0,2000,11,12,6,1
136,Jump Shot,Jump Shot,9,40,4,0,2000,0.0,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-12,HOU,652,4.1,0,2000,11,12,6,1
137,Jump Shot,Jump Shot,-84,82,4,0,2000,0.0,Left Side(L),Mid-Range,8-16 ft.,2000-11-12,HOU,394,11.7388244727,0,2000,11,12,6,1
138,Jump Shot,Jump Shot,9,59,4,0,2000,0.0,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-12,HOU,297,5.96824932455,0,2000,11,12,6,1
139,Driving Dunk Shot,Dunk,0,0,4,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,HOU,208,0.0,0,2000,11,12,6,1
140,Running Jump Shot,Jump Shot,9,59,4,0,2000,1.0,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-12,HOU,98,5.96824932455,0,2000,11,12,6,1
141,Jump Shot,Jump Shot,45,36,4,0,2000,,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-12,HOU,65,5.76281181369,0,2000,11,12,6,1
142,Tip Shot,Tip Shot,0,0,4,0,2000,0.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-12,HOU,63,0.0,0,2000,11,12,6,1
143,Driving Layup Shot,Layup,0,0,1,0,2000,0.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,DEN,463,0.0,0,2000,11,14,1,1
144,Jump Shot,Jump Shot,237,11,1,0,2000,,Right Side(R),Right Corner 3,24+ ft.,2000-11-14,DEN,292,23.7255136931,1,2000,11,14,1,1
145,Alley Oop Dunk Shot,Dunk,0,0,1,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,DEN,188,0.0,0,2000,11,14,1,1
146,Jump Shot,Jump Shot,129,-4,1,0,2000,1.0,Right Side(R),Mid-Range,8-16 ft.,2000-11-14,DEN,145,12.9062000604,0,2000,11,14,1,1
147,Jump Shot,Jump Shot,-98,97,1,0,2000,1.0,Left Side(L),Mid-Range,8-16 ft.,2000-11-14,DEN,48,13.7887635414,0,2000,11,14,1,1
148,Jump Shot,Jump Shot,167,78,2,0,2000,0.0,Right Side(R),Mid-Range,16-24 ft.,2000-11-14,DEN,676,18.4317660575,0,2000,11,14,1,1
149,Jump Shot,Jump Shot,108,249,2,0,2000,0.0,Right Side Center(RC),Above the Break 3,24+ ft.,2000-11-14,DEN,619,27.1412969476,1,2000,11,14,1,1
150,Driving Layup Shot,Layup,0,0,2,0,2000,,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,DEN,605,0.0,0,2000,11,14,1,1
151,Running Jump Shot,Jump Shot,100,175,2,0,2000,1.0,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-14,DEN,547,20.1556443707,0,2000,11,14,1,1
152,Jump Shot,Jump Shot,7,169,2,0,2000,,Center(C),Mid-Range,16-24 ft.,2000-11-14,DEN,254,16.9144908289,0,2000,11,14,1,1
153,Driving Layup Shot,Layup,0,0,2,0,2000,,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,DEN,202,0.0,0,2000,11,14,1,1
154,Layup Shot,Layup,0,0,2,0,2000,0.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,DEN,114,0.0,0,2000,11,14,1,1
155,Driving Layup Shot,Layup,0,0,2,0,2000,0.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,DEN,28,0.0,0,2000,11,14,1,1
156,Tip Shot,Tip Shot,0,0,2,0,2000,,Center(C),Restricted Area,Less Than 8 ft.,2000-11-14,DEN,26,0.0,0,2000,11,14,1,1
157,Jump Shot,Jump Shot,115,169,3,0,2000,0.0,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-14,DEN,623,20.4416242016,0,2000,11,14,1,1
158,Jump Shot,Jump Shot,1,72,3,0,2000,0.0,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-14,DEN,323,7.20069441096,0,2000,11,14,1,1
